,Views_7_days,Country,Price_EUR,Year_Built
469,80,France,25900.0,2018
470,140,Germany,25900.0,1981
471,321,Germany,25900.0,1987
472,165,France,25900.0,2007
474,187,Germany,25900.0,1991
476,217,Germany,25900.0,1995
477,94,Italy,26800.0,2020
479,138,Switzerland,28333.333333333332,2017
480,173,Switzerland,28333.333333333332,2019
481,205,Switzerland,28333.333333333332,1996
482,158,Switzerland,28333.333333333332,2019
483,654,Switzerland,28333.333333333332,1990
484,97,Italy,26700.0,2020
486,137,Switzerland,26700.0,2020
487,224,Italy,26620.0,2020
488,549,Switzerland,27941.176470588234,2014
489,198,Switzerland,28137.254901960783,2018
491,55,Germany,26537.0,2020
493,191,Switzerland,28921.56862745098,2020
494,304,Rolle,28921.56862745098,2018
495,276,Switzerland,28921.56862745098,1996
496,457,Switzerland,28921.56862745098,1989
497,973,Switzerland,28921.56862745098,2002
501,56,Germany,27120.0,2020
503,228,Switzerland,28627.450980392157,2020
504,128,Germany,27000.0,1981
505,120,Italy,27000.0,1992
508,227,Germany,27900.0,2020
509,111,Germany,27900.0,2016
511,308,Germany,27900.0,2018
512,41,Italy,27900.0,2019
514,131,Netherlands,27900.0,1991
515,377,Germany,27900.0,1992
517,294,Germany,27900.0,2007
519,511,Switzerland,29313.725490196077,1983
520,359,Switzerland,29313.725490196077,1992
522,385,Switzerland,30392.156862745098,2001
525,27,France,28546.0,2020
526,252,Germany,28500.0,2020
528,169,Croatia (Hrvatska),28500.0,1997
529,81,Italy,28500.0,2005
530,93,Germany,28500.0,2012
532,143,Croatia (Hrvatska),28500.0,1992
534,286,baden baden,28500.0,1993
535,241,Germany,28500.0,1998
536,161,Italy,29000.0,2018
537,194,Italy,29000.0,2010
538,196,Netherlands,29000.0,2005
540,314,Croatia (Hrvatska),29000.0,1979
541,119,Italy,29000.0,2001
543,205,Italy,29000.0,1993
544,64,Italy,29000.0,2000
545,233,Italy,29000.0,1990
546,199,Germany,29000.0,1987
548,87,Spain,29000.0,2000
549,393,Belgium,29000.0,2009
553,100,France,29900.0,1992
554,851,Donau,29900.0,2006
555,94,Netherlands,29900.0,1984
556,90,Germany,29900.0,1987
558,87,Germany,29800.0,2019
559,46,France,29800.0,2018
560,622,Germany,29800.0,2005
562,102,Germany,29650.0,2019
563,288,Switzerland,31372.549019607843,2018
564,382,Denmark,1692307.6923076923,1999
565,146,Belgium,29500.0,2001
566,87,Germany,30000.0,1954
568,253,Italy,30000.0,2008
569,677,Germany,30000.0,1995
570,313,Netherlands,30000.0,1978
571,324,Germany,30000.0,1970
572,87,Croatia (Hrvatska),30000.0,2008
573,122,France,30000.0,2001
574,234,Italy,30000.0,2002
575,144,Austria,30000.0,2010
576,137,France,30000.0,2015
577,162,Italy,30000.0,1991
580,69,France,30900.0,2018
581,167,Germany,30900.0,1979
582,65,Germany,30825.0,2019
584,62,Germany,30820.0,2020
585,71,Germany,30810.0,2019
588,576,Switzerland,32352.941176470587,1991
589,131,Spain,24133.620689655174,1996
590,136,Germany,30699.0,2020
593,1033,Lake Constance,32352.941176470587,1989
594,164,Switzerland,32088.235294117647,2018
597,64,Germany,32000.0,1996
598,150,Spain,32000.0,1995
599,535,Switzerland,33823.529411764706,2005
600,295,Croatia (Hrvatska),31900.0,2000
601,74,France,31900.0,2010
602,146,Germany,31900.0,1999
603,225,Germany,31900.0,2001
604,166,Switzerland,31830.0,2019
605,105,United Kingdom,25000.0,2002
607,158,Switzerland,33666.666666666664,2020
609,280,Switzerland,33333.333333333336,1984
610,146,Netherlands,32500.0,1982
611,36,Italy,32500.0,2019
613,175,Germany,32500.0,2006
614,81,Italy,32500.0,2019
618,396,Germany,32500.0,1991
622,212,Netherlands,32500.0,2002
624,36,France,32490.0,2018
625,113,Slovak Republic,33000.0,2007
626,139,Italy,33000.0,1989
628,74,France,33000.0,2015
631,165,Greece,33000.0,2006
632,63,Croatia (Hrvatska),33000.0,2008
633,101,France,33000.0,2012
634,87,Germany,33000.0,2020
635,107,France,33000.0,2013
636,118,Italy,33000.0,2000
637,596,Poland,33000.0,2006
638,267,Stralsund,33000.0,2012
639,403,Austria,33000.0,2004
640,187,Italy,33000.0,2002
641,75,Spain,34000.0,2017
642,80,Italy,34000.0,2019
643,70,France,34000.0,2012
644,166,Germany,34000.0,1993
645,395,Rostock,34000.0,2002
647,284,Germany,34000.0,2005
651,248,Germany,33900.0,2005
652,272,Germany,33900.0,1997
653,244,Croatia (Hrvatska),33900.0,2004
654,249,Germany,33900.0,2000
657,39,France,34900.0,2017
658,126,Spain,34900.0,2006
659,177,Germany,34900.0,2002
660,301,Switzerland,34900.0,2020
661,206,Italy,34900.0,2006
662,158,Croatia (Hrvatska),34900.0,1998
663,103,Spain,34900.0,2007
664,128,Netherlands,34900.0,2000
665,93,Netherlands,34900.0,2012
666,353,Italy,34900.0,1980
668,220,Switzerland,34828.0,2019
669,295,Italy,34800.0,2020
670,172,Germany,34800.0,1999
671,162,Spain,35000.0,2004
672,160,Italy,35000.0,2009
